product_category,product_name,github_link,sample_language
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/dlp/api/Snippets/DeidentifyFreeTextWithFpeUsingSurrogate.cs,C#
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/dlp/api/Snippets/DeidentifyWithDateShift.cs,C#
Observability and monitoring,Monitoring,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/monitoring/api/UptimeCheckSample/Program.cs,C#
Security,Secret Manager,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/parametermanager/api/ParameterManager.RegionalSamples/CreateStructuredRegionalParameterVersion.cs,C#
Security,Cloud KMS,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/storage/api/Storage.Samples/UploadFileWithKmsKey.cs,C#
Storage,Storage Transfer Service,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/storagetransfer/api/StorageTransfer.Samples/DownloadToPosixSample.cs,C#
Data analytics and pipelines,BigQuery,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/bigquery/snippets/table/bigquery_create_table_external_hivepartitioned.go,Go
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/compute/disks/consistency_group_add_disk.go,Go
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/dlp/snippets/redact/redact_image_colored_infotypes.go,Go
Security,Sensitive Data Protection,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/dlp/snippets/trigger/list.go,Go
Compute,App Engine,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/docs/appengine/tools/unittest/package.go,Go
Databases,Firestore,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/firestore/vector_search_result_field_masked.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/functions/functionsv2/hellopubsub/hello_pubsub.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/genai/controlled_generation/ctrlgen_with_nullable_schema.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/genai/text_generation/textgen_with_txt_img.go,Go
Security,Certificate Authority,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/privateca/revoke_certificate.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsub/v1samples/topics/create_topic_azure_event_hubs_ingestion.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsub/v1samples/topics/publish.go,Go
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/pubsublite/admin/update_subscription.go,Go
Databases,Spanner,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/opentelemetry/tracing/spanner_opentelemetry_tracing.go,Go
Compute,Batch,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/spanner_snippets/spanner/spanner_batch_client_request_priority.go,Go
Databases,Spanner,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/spanner/spanner_snippets/spanner/spanner_read_only_transaction.go,Go
Security,Cloud KMS,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/storage/buckets/remove_bucket_default_kms_key.go,Go
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/aiplatform/src/main/java/aiplatform/CreateDatasetTextSample.java,Java
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/aiplatform/src/main/java/aiplatform/CreateTrainingPipelineTextEntityExtractionSample.java,Java
App development,Cloud Tasks,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/appengine-java8/tasks/snippets/src/main/java/com/example/task/DeleteQueue.java,Java
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/automl/src/main/java/beta/automl/DeleteDataset.java,Java
Compute,Batch,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/batch/snippets/src/main/java/com/example/batch/CreateBatchUsingServiceAccount.java,Java
Databases,Bigtable,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/bigtable/hbase/snippets/src/main/java/com/example/bigtable/Reads.java,Java
Databases,Cloud SQL,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/cloud-sql/mysql/client-side-encryption/src/main/java/cloudsql/tink/CloudSqlConnectionPool.java,Java
Databases,Cloud SQL,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/cloud-sql/sqlserver/client-side-encryption/src/main/java/cloudsql/tink/CloudSqlConnectionPool.java,Java
AI and ML,DocAI,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/content-warehouse/src/main/java/contentwarehouse/v1/UpdateDocument.java,Java
AI and ML,Dialogflow,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/dialogflow-cx/src/main/java/dialogflow/cx/DetectIntentSentimentAnalysis.java,Java
Compute,Compute Engine,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/functions/v2/label-compute-instance/src/main/java/functions/AutoLabelInstance.java,Java
Industry solutions,Healthcare Data Engine,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/healthcare/v1/src/main/java/snippets/healthcare/dicom/DicomStoreExport.java,Java
Industry solutions,Healthcare Data Engine,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/healthcare/v1/src/main/java/snippets/healthcare/hl7v2/Hl7v2StoreGetIamPolicy.java,Java
Networking,Media CDN,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/media/livestream/src/main/java/com/example/livestream/StartChannel.java,Java
Networking,Media CDN,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/media/stitcher/src/main/java/com/example/stitcher/GetVodStitchDetail.java,Java
Security,Security Command Center,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/security-command-center/snippets/src/main/java/muteconfig/CreateMuteRule.java,Java
Security,Security Command Center,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/security-command-center/snippets/src/main/java/vtwo/muteconfig/DeleteMuteRule.java,Java
Databases,Spanner,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/spanner/jdbc/src/main/java/com/example/spanner/jdbc/InsertDataExample.java,Java
Networking,Media CDN,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/video/src/main/java/beta/video/StreamingShotChangeDetection.java,Java
Compute,Google Kubernetes Engine (GKE),https://github.com/GoogleCloudPlatform/kubernetes-engine-samples/blob/main/autopilot/networking-tutorial/main.tf,Terraform
App development,Pub/Sub,https://github.com/GoogleCloudPlatform/kubernetes-engine-samples/blob/main/streaming/kafka/terraform/gke-standard/main.tf,Terraform
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/ai-platform/snippets/create-endpoint.js,JavaScript
AI and ML,Vertex AI,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/ai-platform/snippets/imagen-edit-image-inpainting-remove-mask.js,JavaScript
Data analytics and pipelines,BigQuery,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/asset/snippets/exportAssetsBigquery.js,JavaScript
