product_category,product_name,github_link,sample_language
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/dotnet-docs-samples/blob/main/retail/interactive-tutorial/RetailProducts.Samples/CreateProductSample.cs,C#
Networking,Service Directory,https://github.com/GoogleCloudPlatform/golang-samples/blob/main/servicedirectory/create_endpoint.go,Go
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/containeranalysis/snippets/find_vulnerabilities_for_image.py,Python
Data analytics and pipelines,Dataproc,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/dataproc/snippets/instantiate_inline_workflow_template.py,Python
Compute,VMware Engine,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/vmwareengine/cloud-client/delete_policy.py,Python
Networking,Cloud Router,https://github.com/terraform-google-modules/terraform-google-cloud-router/blob/main/examples/simple_example/main.tf,Terraform
Data analytics and pipelines,Dataflow,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/dataflow/snippets/src/main/java/com/example/dataflow/ApacheIcebergWrite.java,Java
Security,Identity-Aware Proxy (IAP),https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/iap/validate_jwt.py,Python
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/nodejs/stackdriver-debug-errorreporting/start/quiz-app/gcp/cloudstorage.js,JavaScript
App development,Cloud Debugger,https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/courses/developingapps/v1.2/nodejs/stackdriver-trace-monitoring/end/frontend/web-app/questions.js,JavaScript
Storage,Storage Control,https://github.com/googleapis/google-cloud-ruby/blob/main/google-cloud-storage-control/samples/storage_control_delete_folder.rb,Ruby
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-google-lb-http/blob/main/examples/multi-backend-multi-mig-bucket-https-lb/main.tf,Terraform
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/container-registry/container-analysis/src/main/java/com/example/containeranalysis/OccurrencesForNote.java,Java
AI and ML,Contact Center AI,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/contact-center-insights/snippets/set_project_ttl.py,Python
Industry solutions,Vertex AI Search for retail,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/retail/interactive-tutorials/product/create_product.py,Python
AI and ML,TensorFlow Enterprise,https://github.com/GoogleCloudPlatform/tensorflow-lifetime-value/blob/master/clv_mle/trainer/btyd.py,Python
Networking,Cloud Load Balancing,https://github.com/terraform-google-modules/terraform-docs-samples/blob/main/lb/external_http_lb_bucket_backend/main.tf,Terraform
Security,Identity-Aware Proxy (IAP),https://github.com/GoogleCloudPlatform/golang-samples/blob/main/iap/request.go,Go
Security,reCAPTCHA,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/main/recaptcha_enterprise/snippets/src/main/java/recaptcha/account_defender/AnnotateAccountDefenderAssessment.java,Java
App development,Artifact Analysis,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/container-analysis/snippets/occurrencesForImage.js,JavaScript
AI and ML,Text-to-Speech,https://github.com/GoogleCloudPlatform/nodejs-docs-samples/blob/main/dialogflow-cx/detect-intent-synthesize-tts-response.js,JavaScript
